Player,Age,Season,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Kawhi Leonard,24,2016,SAS,0.0,634.0,1310.0,0.484,72.0,33.1,21.2,6.8,2.6,1.8,1.0,0.506,0.443,0.874,13.7,0.277
LeBron James,31,2016,CLE,0.0,631.0,1310.0,0.482,76.0,35.6,25.3,7.4,6.8,1.4,0.6,0.52,0.309,0.731,13.6,0.242
Russell Westbrook,27,2016,OKC,0.0,486.0,1310.0,0.371,80.0,34.4,23.5,7.8,10.4,2.0,0.3,0.454,0.296,0.812,14.0,0.245
Kevin Durant,27,2016,OKC,0.0,147.0,1310.0,0.112,72.0,35.8,28.2,8.2,5.0,1.0,1.2,0.505,0.387,0.898,14.5,0.27
Chris Paul,30,2016,LAC,0.0,107.0,1310.0,0.082,74.0,32.7,19.5,4.2,10.0,2.1,0.2,0.462,0.371,0.896,12.7,0.253
Draymond Green,25,2016,GSW,0.0,50.0,1310.0,0.038,81.0,34.7,14.0,9.5,7.4,1.5,1.4,0.49,0.388,0.696,11.1,0.19
Damian Lillard,25,2016,POR,0.0,26.0,1310.0,0.02,75.0,35.7,25.1,4.0,6.8,0.9,0.4,0.419,0.375,0.892,9.2,0.165
James Harden,26,2016,HOU,0.0,9.0,1310.0,0.007,82.0,38.1,29.0,6.1,7.5,1.7,0.6,0.439,0.359,0.86,13.3,0.204
Kyle Lowry,29,2016,TOR,0.0,6.0,1310.0,0.005,77.0,37.0,21.2,4.7,6.4,2.1,0.4,0.427,0.388,0.811,11.6,0.196
Russell Westbrook,28,2017,OKC,69.0,888.0,1010.0,0.879,81.0,34.6,31.6,10.7,10.4,1.6,0.4,0.425,0.343,0.845,13.1,0.224
James Harden,27,2017,HOU,22.0,753.0,1010.0,0.746,81.0,36.4,29.1,8.1,11.2,1.5,0.5,0.44,0.347,0.847,15.0,0.245
Kawhi Leonard,25,2017,SAS,9.0,500.0,1010.0,0.495,74.0,33.4,25.5,5.8,3.5,1.8,0.7,0.485,0.38,0.88,13.6,0.264
LeBron James,32,2017,CLE,1.0,333.0,1010.0,0.33,74.0,37.8,26.4,8.6,8.7,1.2,0.6,0.548,0.363,0.674,12.9,0.221
Isaiah Thomas,27,2017,BOS,0.0,81.0,1010.0,0.08,76.0,33.8,28.9,2.7,5.9,0.9,0.2,0.463,0.379,0.909,12.5,0.234
Stephen Curry,28,2017,GSW,0.0,52.0,1010.0,0.051,79.0,33.4,25.3,4.5,6.6,1.8,0.2,0.468,0.411,0.898,12.6,0.229
Giannis Antetokounmpo,22,2017,MIL,0.0,7.0,1010.0,0.007,80.0,35.6,22.9,8.8,5.4,1.6,1.9,0.521,0.272,0.77,12.4,0.21
John Wall,26,2017,WAS,0.0,7.0,1010.0,0.007,78.0,36.4,23.1,4.2,10.7,2.0,0.6,0.451,0.327,0.801,8.8,0.149
Anthony Davis,23,2017,NOP,0.0,2.0,1010.0,0.002,75.0,36.1,28.0,11.8,2.1,1.3,2.2,0.505,0.299,0.802,11.0,0.195
Kevin Durant,28,2017,GSW,0.0,2.0,1010.0,0.002,62.0,33.4,25.1,8.3,4.8,1.1,1.6,0.537,0.375,0.875,12.0,0.278
DeMar DeRozan,27,2017,TOR,0.0,1.0,1010.0,0.001,74.0,35.4,27.3,5.2,3.9,1.1,0.2,0.467,0.266,0.842,9.0,0.166
James Harden,28,2018,HOU,86.0,965.0,1010.0,0.955,72.0,35.4,30.4,5.4,8.8,1.8,0.7,0.449,0.367,0.858,15.4,0.289
LeBron James,33,2018,CLE,15.0,738.0,1010.0,0.731,82.0,36.9,27.5,8.6,9.1,1.4,0.9,0.542,0.367,0.731,14.0,0.221
Anthony Davis,24,2018,NOP,0.0,445.0,1010.0,0.441,75.0,36.4,28.1,11.1,2.3,1.5,2.6,0.534,0.34,0.828,13.7,0.241
Damian Lillard,27,2018,POR,0.0,207.0,1010.0,0.205,73.0,36.6,26.9,4.5,6.6,1.1,0.4,0.439,0.361,0.916,12.6,0.227
Russell Westbrook,29,2018,OKC,0.0,76.0,1010.0,0.075,80.0,36.4,25.4,10.1,10.3,1.8,0.3,0.449,0.298,0.737,10.1,0.166
Giannis Antetokounmpo,23,2018,MIL,0.0,75.0,1010.0,0.074,75.0,36.7,26.9,10.0,4.8,1.5,1.4,0.529,0.307,0.76,11.9,0.207
Kevin Durant,29,2018,GSW,0.0,66.0,1010.0,0.065,68.0,34.2,26.4,6.8,5.4,0.7,1.8,0.516,0.419,0.889,10.4,0.215
DeMar DeRozan,28,2018,TOR,0.0,32.0,1010.0,0.032,80.0,33.9,23.0,3.9,5.2,1.1,0.3,0.456,0.31,0.825,9.6,0.17
LaMarcus Aldridge,32,2018,SAS,0.0,6.0,1010.0,0.006,75.0,33.5,23.1,8.5,2.0,0.6,1.2,0.51,0.293,0.837,10.9,0.209
Jimmy Butler,28,2018,MIN,0.0,5.0,1010.0,0.005,59.0,36.7,22.2,5.3,4.9,2.0,0.4,0.474,0.35,0.854,8.9,0.198
Stephen Curry,29,2018,GSW,0.0,5.0,1010.0,0.005,51.0,32.0,26.4,5.1,6.1,1.6,0.2,0.495,0.423,0.921,9.1,0.267
Joel Embiid,23,2018,PHI,0.0,4.0,1010.0,0.004,63.0,30.3,22.9,11.0,3.2,0.6,1.8,0.483,0.308,0.769,6.2,0.155
Victor Oladipo,25,2018,IND,0.0,2.0,1010.0,0.002,75.0,34.0,23.1,5.2,4.3,2.4,0.8,0.477,0.371,0.799,8.2,0.155
Giannis Antetokounmpo,24,2019,MIL,78.0,941.0,1010.0,0.932,72.0,32.8,27.7,12.5,5.9,1.3,1.5,0.578,0.256,0.729,14.4,0.292
James Harden,29,2019,HOU,23.0,776.0,1010.0,0.768,78.0,36.8,36.1,6.6,7.5,2.0,0.7,0.442,0.368,0.879,15.2,0.254
Paul George,28,2019,OKC,0.0,356.0,1010.0,0.352,77.0,36.9,28.0,8.2,4.1,2.2,0.4,0.438,0.386,0.839,11.9,0.201
Nikola Jokić,23,2019,DEN,0.0,212.0,1010.0,0.21,80.0,31.3,20.1,10.8,7.3,1.4,0.7,0.511,0.307,0.821,11.8,0.226
Stephen Curry,30,2019,GSW,0.0,175.0,1010.0,0.173,69.0,33.8,27.3,5.3,5.2,1.3,0.4,0.472,0.437,0.916,9.7,0.199
Damian Lillard,28,2019,POR,0.0,69.0,1010.0,0.068,80.0,35.5,25.8,4.6,6.9,1.1,0.4,0.444,0.369,0.912,12.1,0.205
Joel Embiid,24,2019,PHI,0.0,49.0,1010.0,0.049,64.0,33.7,27.5,13.6,3.7,0.7,1.9,0.484,0.3,0.804,8.7,0.194
Kevin Durant,30,2019,GSW,0.0,25.0,1010.0,0.025,78.0,34.6,26.0,6.4,5.9,0.7,1.1,0.521,0.353,0.885,11.5,0.204
Kawhi Leonard,27,2019,TOR,0.0,13.0,1010.0,0.013,60.0,34.0,26.6,7.3,3.3,1.8,0.4,0.496,0.371,0.854,9.5,0.224
Russell Westbrook,30,2019,OKC,0.0,8.0,1010.0,0.008,73.0,36.0,22.9,11.1,10.7,1.9,0.5,0.428,0.29,0.656,6.8,0.124
Rudy Gobert,26,2019,UTA,0.0,1.0,1010.0,0.001,81.0,31.8,15.9,12.9,2.0,0.8,2.3,0.669,0.0,0.636,14.4,0.268
LeBron James,34,2019,LAL,0.0,1.0,1010.0,0.001,55.0,35.2,27.4,8.5,8.3,1.3,0.6,0.51,0.339,0.665,7.2,0.179
Giannis Antetokounmpo,25,2020,MIL,85.0,962.0,1010.0,0.952,63.0,30.4,29.5,13.6,5.6,1.0,1.0,0.553,0.304,0.633,11.1,0.279
LeBron James,35,2020,LAL,16.0,753.0,1010.0,0.746,67.0,34.6,25.3,7.8,10.2,1.2,0.5,0.493,0.348,0.693,9.8,0.204
James Harden,30,2020,HOU,0.0,367.0,1010.0,0.363,68.0,36.5,34.3,6.6,7.5,1.8,0.9,0.444,0.355,0.865,13.1,0.254
Luka Dončić,20,2020,DAL,0.0,200.0,1010.0,0.198,61.0,33.6,28.8,9.4,8.8,1.0,0.2,0.463,0.316,0.758,8.8,0.207
Kawhi Leonard,28,2020,LAC,0.0,168.0,1010.0,0.166,57.0,32.4,27.1,7.1,4.9,1.8,0.6,0.47,0.378,0.886,8.7,0.226
Anthony Davis,26,2020,LAL,0.0,82.0,1010.0,0.081,62.0,34.4,26.1,9.3,3.2,1.5,2.3,0.503,0.33,0.846,11.1,0.25
Chris Paul,34,2020,OKC,0.0,26.0,1010.0,0.026,70.0,31.5,17.6,5.0,6.7,1.6,0.2,0.489,0.365,0.907,8.9,0.193
Damian Lillard,29,2020,POR,0.0,23.0,1010.0,0.023,66.0,37.5,30.0,4.3,8.0,1.1,0.3,0.463,0.401,0.888,11.6,0.225
Nikola Jokić,24,2020,DEN,0.0,18.0,1010.0,0.018,73.0,32.0,19.9,9.7,7.0,1.2,0.6,0.528,0.314,0.817,9.8,0.202
Pascal Siakam,25,2020,TOR,0.0,17.0,1010.0,0.017,60.0,35.2,22.9,7.3,3.5,1.0,0.9,0.453,0.359,0.792,5.4,0.123
Jimmy Butler,30,2020,MIA,0.0,9.0,1010.0,0.009,58.0,33.8,19.9,6.7,6.0,1.8,0.6,0.455,0.244,0.834,9.0,0.221
Jayson Tatum,21,2020,BOS,0.0,1.0,1010.0,0.001,66.0,34.3,23.4,7.0,3.0,1.4,0.9,0.45,0.403,0.812,6.9,0.146
Nikola Jokić,25,2021,DEN,91.0,971.0,1010.0,0.961,72.0,34.6,26.4,10.8,8.3,1.3,0.7,0.566,0.388,0.868,15.6,0.301
Joel Embiid,26,2021,PHI,1.0,586.0,1010.0,0.58,51.0,31.1,28.5,10.6,2.8,1.0,1.4,0.513,0.377,0.859,8.8,0.266
Stephen Curry,32,2021,GSW,5.0,453.0,1010.0,0.449,63.0,34.2,32.0,5.5,5.8,1.2,0.1,0.482,0.421,0.916,9.0,0.201
Giannis Antetokounmpo,26,2021,MIL,1.0,348.0,1010.0,0.345,61.0,33.0,28.1,11.0,5.9,1.2,1.2,0.569,0.303,0.685,10.2,0.244
Chris Paul,35,2021,PHO,2.0,139.0,1010.0,0.138,70.0,31.4,16.4,4.5,8.9,1.4,0.3,0.499,0.395,0.934,9.2,0.201
Luka Dončić,21,2021,DAL,0.0,42.0,1010.0,0.042,66.0,34.3,27.7,8.0,8.6,1.0,0.5,0.479,0.35,0.73,7.7,0.163
Damian Lillard,30,2021,POR,0.0,38.0,1010.0,0.038,67.0,35.8,28.8,4.2,7.5,0.9,0.3,0.451,0.391,0.928,10.4,0.209
Julius Randle,26,2021,NYK,0.0,20.0,1010.0,0.02,71.0,37.6,24.1,10.2,6.0,0.9,0.3,0.456,0.411,0.811,7.8,0.14
Derrick Rose,32,2021,TOT,1.0,10.0,1010.0,0.01,50.0,25.6,14.7,2.6,4.2,1.0,0.4,0.47,0.388,0.866,3.1,0.118
Rudy Gobert,28,2021,UTA,0.0,8.0,1010.0,0.008,71.0,30.8,14.3,13.5,1.3,0.6,2.7,0.675,0.0,0.623,11.3,0.248
Russell Westbrook,32,2021,WAS,0.0,5.0,1010.0,0.005,65.0,36.4,22.2,11.5,11.7,1.4,0.4,0.439,0.315,0.656,3.7,0.075
Ben Simmons,24,2021,PHI,0.0,3.0,1010.0,0.003,58.0,32.4,14.3,7.2,6.9,1.6,0.6,0.557,0.3,0.613,6.0,0.153
James Harden,31,2021,TOT,0.0,1.0,1010.0,0.001,44.0,36.6,24.6,7.9,10.8,1.2,0.8,0.466,0.362,0.861,7.0,0.208
LeBron James,36,2021,LAL,0.0,1.0,1010.0,0.001,45.0,33.4,25.0,7.7,7.8,1.1,0.6,0.513,0.365,0.698,5.6,0.179
Kawhi Leonard,29,2021,LAC,0.0,1.0,1010.0,0.001,52.0,34.1,24.8,6.5,5.2,1.6,0.4,0.512,0.398,0.885,8.8,0.238
Nikola Jokić,26,2022,DEN,65.0,875.0,1000.0,0.875,74.0,33.5,27.1,13.8,7.9,1.5,0.9,0.583,0.337,0.81,15.2,0.296
Joel Embiid,27,2022,PHI,26.0,706.0,1000.0,0.706,68.0,33.8,30.6,11.7,4.2,1.1,1.5,0.499,0.371,0.814,12.0,0.252
Giannis Antetokounmpo,27,2022,MIL,9.0,595.0,1000.0,0.595,67.0,32.9,29.9,11.6,5.8,1.1,1.4,0.553,0.293,0.722,12.9,0.281
Devin Booker,25,2022,PHO,0.0,216.0,1000.0,0.216,68.0,34.5,26.8,5.0,4.8,1.1,0.4,0.466,0.383,0.868,7.6,0.156
Luka Dončić,22,2022,DAL,0.0,146.0,1000.0,0.146,65.0,35.4,28.4,9.1,8.7,1.2,0.6,0.457,0.353,0.744,7.6,0.159
Jayson Tatum,23,2022,BOS,0.0,43.0,1000.0,0.043,76.0,35.9,26.9,8.0,4.4,1.0,0.6,0.453,0.353,0.853,9.6,0.169
Ja Morant,22,2022,MEM,0.0,10.0,1000.0,0.01,57.0,33.1,27.4,5.7,6.7,1.2,0.4,0.493,0.344,0.761,6.7,0.171
Stephen Curry,33,2022,GSW,0.0,4.0,1000.0,0.004,64.0,34.5,25.5,5.2,6.3,1.3,0.4,0.437,0.38,0.923,8.0,0.173
Chris Paul,36,2022,PHO,0.0,2.0,1000.0,0.002,65.0,32.9,14.7,4.4,10.8,1.9,0.3,0.493,0.317,0.837,9.4,0.21
DeMar DeRozan,32,2022,CHI,0.0,1.0,1000.0,0.001,76.0,36.1,27.9,5.2,4.9,0.9,0.3,0.504,0.352,0.877,8.8,0.154
Kevin Durant,33,2022,BRK,0.0,1.0,1000.0,0.001,55.0,37.2,29.9,7.4,6.4,0.9,0.9,0.518,0.383,0.91,8.4,0.198
LeBron James,37,2022,LAL,0.0,1.0,1000.0,0.001,56.0,37.2,30.3,8.2,6.2,1.3,1.1,0.524,0.359,0.756,7.5,0.172
